id,car_make,car_model,year,first_owner,vinnumber
453,Kia,Spectra,2004,true,5N1AR2MM3EC909922
454,Bentley,Arnage,2006,true,1GD120EGXBF332964
455,Dodge,D250,1993,true,1G4HP54K124596847
456,Lamborghini,Murciélago,2003,true,2G4WC532551290335
457,Honda,Pilot,2012,false,WBANW13528C235895
458,Mercury,Cougar,2002,false,TRUXD38J591787963
459,Mercedes-Benz,C-Class,2008,false,1G4GD5GDXBF495974
460,Isuzu,Hombre Space,1997,true,WBANB33545C016746
461,Lexus,LS,1992,true,1FTEX1CM2CF325513
462,Honda,Element,2010,true,WBAUN7C56BV251532
463,BMW,7 Series,2011,false,JA4AP3AU6CZ814862
464,Pontiac,Trans Sport,1995,false,1G6AT5S35F0064143
465,Porsche,928,1985,false,KM8JT3AC1AU794678
466,Mitsubishi,Galant,1993,false,JTHBL5EF4B5304916
467,Mercury,Cougar,1969,true,WAU2GAFC5EN268383
468,Subaru,Legacy,1991,false,KMHTC6AD8CU712015
469,Dodge,Ram 2500,2004,true,1GYUKJEF1AR595866
470,Nissan,Altima,1994,false,JH4KB16678C065635
471,Mercury,Marquis,1986,false,JN1CV6EK3DM219595
472,Aston Martin,V12 Vantage,2012,true,1GYS3KEF1BR673140
473,Mercury,Mystique,1995,false,1G4PS5SK1D4472478
474,Chevrolet,Express 1500,2000,true,1G6DE1E34E0756890
475,Pontiac,Bonneville,1988,false,WAUVVAFR1BA380852
476,Infiniti,M,1992,false,WA1LGBFE5DD142408
477,Land Rover,Defender 90,1997,false,1C3CDWBAXCD778334
478,Toyota,Corolla,2003,true,1FMJU1F56AE528303
479,Volvo,240,1993,false,WBA3X5C55FD701578
480,GMC,Sierra 3500,2002,false,WBA3B1C55FP225466
481,Oldsmobile,98,1996,false,WUAW2AFC1EN730587
482,Subaru,XT,1986,false,YV1382MSXA2563067
483,Audi,200,1989,true,1G6DX67D470716969
484,Ford,Crown Victoria,1997,false,5GAKVCKDXDJ295136
485,Ford,F250,2010,true,WBA3A5C5XDF354297
486,Audi,S6,2003,false,5LMJJ3H50BE790479
487,GMC,Safari,1999,false,WA1KK98R59A971247
488,Hummer,H2 SUV,2006,true,WAUDFBFL2AN936667
489,Suzuki,XL-7,2006,false,2T1BURHE4FC615229
490,Lotus,Exige,2008,false,1G4PR5SK1F4999323
491,GMC,Envoy,1998,true,WBAWR33508P430524
492,Infiniti,QX,2011,false,WBAAN37461N208692
493,Mercury,Sable,1995,false,JH4KC1F53EC211349
494,Land Rover,Discovery,1995,true,YV4952CF4D1259169
495,Chevrolet,Camaro,2001,true,1GYS4KEF0BR979338
496,Chevrolet,2500,1999,true,3C3CFFCR8CT125008
497,Scion,xD,2010,false,1GYFK63827R969971
498,Audi,RS 4,2008,false,2B3CJ7DJXBH427594
499,Mercury,Tracer,1997,false,WA1CGCFE1BD588624
500,Suzuki,Aerio,2002,false,JH4CL95974C671071
501,Buick,Electra,1984,false,WAU3FAFR8CA335414
502,Mercedes-Benz,SL-Class,2001,true,WAULD54B82N175965
503,Lexus,GX,2009,false,WBA5B3C50FD650065
504,Honda,Accord,2007,false,WBA3R5C51FK462620
505,Dodge,Dakota,1995,true,1GD010CG1BF317738
506,Audi,80,1992,true,1G6DT57V380280695
507,Ford,Aerostar,1993,false,WBA3A5C58EJ018629
508,Ford,Bronco,1991,false,SALSF2D46DA517232
509,Jeep,Liberty,2012,true,1C4AJWAGXFL014950
510,Land Rover,LR2,2008,false,JN1CV6EK4BM422377
511,Ford,Thunderbird,1997,false,5N1AN0NW5DN568400
512,Dodge,Ram,2008,true,WP0CA2A86DK914676
513,Chevrolet,Camaro,1968,true,4A31K5DF3BE208337
514,Nissan,Leaf,2012,true,WAUEFAFL8DA246397
515,Porsche,968,1992,true,1G6EL12Y81B412004
516,Mitsubishi,Outlander,2003,true,WDDLJ7DB7EA389872
517,Aptera,2e,2009,true,2C3CCARG0FH057284
518,Ford,Bronco II,1986,true,1NXBU4EE1AZ928379
519,Pontiac,Grand Am,1989,false,5TDBK3EH8CS284028
520,Chevrolet,Express,2010,true,WAUNF68P06A845861
521,Mercedes-Benz,CLK-Class,2000,false,JA4AS3AW1DU997506
522,Acura,TL,2010,false,1G6AC5SX0D0946241
523,Maserati,Quattroporte,2006,true,WAUAH78E48A013682
524,Audi,RS 6,2003,false,1FTWW3B59AE723494
525,Acura,MDX,2007,false,JH4CU25609C505315
526,Chevrolet,Venture,2000,false,1G4PP5SK1D4478055
527,Hyundai,Elantra,2000,false,1G6AC5SX7D0380031
528,Audi,A8,2007,false,WBAFU7C54BD430346
529,Volvo,960,1993,false,WP1AE2A27CL643025
530,GMC,Savana,2008,true,YV1902AH7E1269339
531,Mazda,MX-5,2008,true,SCFBB04B87G794649
532,Mercedes-Benz,C-Class,1995,true,1GYEE637190320910
533,Toyota,Avalon,2006,false,1G6KP5E90AU377563
534,GMC,Savana 3500,2001,false,JN1AZ4EH0FM188068
535,Chevrolet,Silverado 1500,2012,true,5TDBKRFH4ES284273
536,Toyota,Venza,2011,true,WBANF33547B046312
537,Nissan,240SX,1992,false,2T1KU4EE5CC230510
538,Chrysler,300M,2004,true,WBAAW334X1E510683
539,Jeep,Cherokee,1997,true,WDDLJ7GB1FA184870
540,Merkur,XR4Ti,1985,false,1J4NF1FB5AD297919
541,Bentley,Continental GT,2007,false,W04GY5GV6B1011985
542,Jeep,Cherokee,1994,false,1GYS3BEF1CR458598
543,Pontiac,Bonneville,1998,false,SCBLC47JX7C496964
544,Chrysler,New Yorker,1994,false,1D7RE5GK8BS148715
545,Bentley,Continental GT,2006,true,1G4GA5ER0DF949739
546,Audi,A6,2002,false,WA1KK78R59A270437
547,Ford,Focus,2008,false,WBSBL93456P408814
548,Subaru,Leone,1985,false,W04GS5EC6B1287859
549,Nissan,Altima,1995,true,1GD311CG4FF009696
550,Jaguar,X-Type,2007,false,1N6AD0CU0BC626993
551,GMC,Sierra 2500,2011,false,4USBT33493L320334
552,Isuzu,Hombre Space,1997,true,WBAFU7C52CD388308
553,Honda,Accord,2003,false,WAUFGBFCXEN635169
554,Mitsubishi,L300,1988,true,WAULT68E45A043231
555,Pontiac,Grand Prix,2000,true,KNDJN2A26E7055164
556,Buick,Enclave,2008,false,VNKKTUD30FA830077
557,Pontiac,Firefly,1985,true,WBAWL13578P427139
558,GMC,3500 Club Coupe,1994,true,1B3AZ6JZ6AV838016
559,Mazda,Tribute,2008,true,4USBT33423L777048
560,Chevrolet,G-Series G30,1996,false,WVGEG9BP8CD993465
561,Oldsmobile,Intrigue,1999,false,JN1AZ4EH1AM348113
562,Mercury,Topaz,1990,true,1FTWX3A56AE670106
563,Hummer,H3T,2010,false,WBXPC9C44AW389249
564,Subaru,Forester,2010,false,1FTWX3A51AE195206
565,Pontiac,Grand Prix,1985,true,1G6AK5SX5E0230262
566,Honda,Accord,1994,true,3VWAL7AJ1AM525835
567,Mazda,929,1991,true,KMHFG4JG1CA029736
568,Pontiac,Grand Prix,1968,true,1G6DU6EA3A0173803
569,Kia,Sedona,2012,false,WDDEJ7EB1BA022596
570,GMC,Yukon,2004,false,1GYS3EEJ1CR780602
571,Mazda,Mazda6,2012,true,4T1BF1FKXFU871572
572,Hyundai,Genesis,2012,false,KM8JT3AB4CU038210
573,Plymouth,Sundance,1993,false,WBAUL7C5XAV989564
574,Cadillac,DeVille,1998,false,5J8TB3H71GL466976
575,Mercedes-Benz,M-Class,2006,true,WBAUU3C52AA678661
576,Nissan,Xterra,2000,true,WDDUG7JB0EA743643
577,Ford,Probe,1991,false,5J6YH1H3XBL344009
578,Subaru,Loyale,1992,true,5NPDH4AE1CH030739
579,GMC,Yukon XL 1500,2008,false,WAUHF98P87A520732
580,Oldsmobile,Silhouette,1994,false,JTHBB1BA1A2246378
581,BMW,745,2004,true,YV1672MK6C2169245
582,Mercedes-Benz,SLK-Class,2008,false,1G6AM5S33D0032835
583,BMW,745,2005,true,2FMDK3JC5AB507202
584,Lincoln,MKZ,2009,false,KM8JT3AB1DU511871
585,Ford,Festiva,1990,false,WUAUUAFG5CN527025
586,Chevrolet,1500,1994,true,3D4PG4FB3BT136335
587,Mitsubishi,GTO,1996,true,WAUDG74F36N123952
588,Chevrolet,Silverado 3500,2009,false,SAJWA0HP4EM271069
589,Infiniti,G35,2008,true,WAUVC58E35A822980
590,Cadillac,Catera,2000,true,SCBBP9ZAXCC500838
591,Mercury,Mountaineer,2009,false,1GYS4DEFXCR871113
592,Nissan,Sentra,2007,true,JH4CU2E87EC989317
593,GMC,Savana 2500,1999,true,WAUBH74FX6N445265
594,Buick,Regal,1986,true,5FNYF3H47EB770716
595,Lotus,Evora,2012,false,WBAEH13476C886101
596,Ford,Fusion,2011,false,1FTSX2B50AE838474
597,Chevrolet,Camaro,1979,true,JN8AS5MT5CW832794
598,Lotus,Elan,1992,true,WVWBN7ANXFE633243
599,Acura,RSX,2005,false,WAUGVAFR5CA048620
600,Ford,Expedition,1998,false,WBSBR93423P209231
601,Toyota,Paseo,1993,true,WAUDV74F87N131925
602,Alfa Romeo,164,1995,false,WAUBH78E96A871554
603,MINI,Clubman,2009,false,2HNYD2H20AH565431
604,GMC,Yukon,2009,true,WAUCFAFR5BA152695
605,Toyota,Previa,1997,true,WBA6B2C54DD945889
606,Chevrolet,Camaro,1979,true,WVWGU7AN2CE316190
607,Chevrolet,Corvette,1995,true,1B3BD4FBXBN227295
608,Dodge,Ram Wagon B350,1993,false,1N6AF0LY6FN390745
609,Tesla,Model S,2012,false,1N6AD0CW9EN838320
610,Toyota,Sequoia,2010,true,WA1AV94L47D720347
611,Lexus,ES,2003,false,1G6EL12Y32B038242
612,Mazda,MX-6,1994,true,5FNYF3H43EB886883
613,Lexus,LX,2010,true,WBAKA4C50CD900010
614,Honda,CR-V,2012,false,WAUEF98E56A072322
615,GMC,Safari,2004,true,19UYA42533A332921
616,Jeep,Cherokee,1999,true,2T2BK1BAXEC482161
617,Oldsmobile,88,1992,false,JTDKTUD36DD095495
618,Honda,Element,2003,true,1VWAH7A38DC862124
619,Porsche,944,1983,true,JM1NC2LF5D0203335
620,Toyota,Paseo,1997,false,1G6DN8EV1A0087112
621,Chevrolet,Bel Air,1967,false,WBAKN9C54ED409931
622,Saturn,L-Series,2003,true,WBALX3C59CD628764
623,Ford,F350,2003,false,WBAKN9C52FD870126
624,GMC,Envoy XL,2003,true,WA1WKAFP3AA645374
625,Volkswagen,GTI,2006,false,WBAVB13586P810597
626,Ford,Thunderbird,1992,true,WBAKB4C52CC801627
627,Suzuki,Grand Vitara,2001,true,1GYS4DEF5BR063539
628,Mercedes-Benz,500SL,1992,true,1GD422CG3EF314726
629,Audi,S6,2002,false,SCBFH7ZA4FC504391
630,Mitsubishi,Galant,2005,true,WAUGL98EX6A603323
631,BMW,525,2001,true,2T1BURHE9FC147692
632,Cadillac,STS-V,2006,false,WA1WYAFE5AD126712
633,Ford,E-Series,2003,false,1G6DF577790035263
634,Chrysler,Sebring,1998,false,3C4PDCBB6DT042152
635,Dodge,Ram 2500,2010,false,JN1CV6FE4EM906966
636,Buick,Coachbuilder,1994,true,WAUGL68E35A960131
637,Oldsmobile,Aurora,1997,true,5YMGZ0C59DL904226
638,Lincoln,MKX,2011,true,1D7RE3GK7AS007802
639,Oldsmobile,Achieva,1992,true,WDDJK6FA0FF694783
640,Honda,Pilot,2005,true,WVGEG9BP1DD880166
641,Toyota,T100 Xtra,1996,true,1G6DJ5EY8B0888173
642,Volvo,S80,2005,false,KM8NU4CC9BU904380
643,BMW,M5,1992,true,3C3CFFER2ET434621
644,Volkswagen,Cabriolet,1993,true,WAUBF48H77K560554
645,Toyota,Celica,2004,true,JH4DC53853S923878
646,Cadillac,Allante,1992,true,WP0CA2A80AU771336
647,Ford,Focus,2006,false,WAUDGBFL3BA347987
648,Volvo,V70,2002,false,WA1BY94L58D151635
649,Toyota,Prius,2012,true,KNDJT2A12A7732315
650,GMC,Savana 3500,2008,true,1GD11ZCGXBF552437
651,Lotus,Elise,2009,false,WAUEFAFL7EA785546
652,Infiniti,I,2003,true,2FMGK5DC4AB208580
653,GMC,Sierra 2500,2006,false,WAUFL44D02N115254
654,Volkswagen,Golf,1998,false,WBASP0C58DC320096
655,GMC,Yukon XL 1500,2004,false,WAUWFAFH4CN702841
656,GMC,2500 Club Coupe,1996,true,1N4AB7AP9EN489209
657,Ford,Explorer,2012,true,1G6KD57Y64U818985
658,Infiniti,FX,2003,false,1C6RD6JT9CS890392
659,Jaguar,S-Type,2007,true,2G4GX5GV8B9060444
660,Toyota,Sienna,2007,false,WAUEFAFL6DN218431
661,MINI,Cooper,2007,true,2C3CDXBG3EH867436
662,Hyundai,Tiburon,2006,true,5N1CR2MM5EC100060
663,BMW,3 Series,1993,true,2G4WC552971080983
664,Chevrolet,1500,1999,false,1GD311CG3FZ196444
665,Mitsubishi,Galant,2012,false,KNAFU5A2XD5885583
666,Chevrolet,Colorado,2010,false,WAUEF98E56A638236
667,Volkswagen,Golf,1992,true,1GKUCEEF8AR341134
668,Mazda,Mazdaspeed6,2007,false,4A37L3ET6AE561685
669,Mazda,MPV,2004,false,3N1AB7AP1FY501970
670,Nissan,Quest,1996,false,3D4PH1FG4BT250657
671,Hummer,H1,1995,true,WBALL5C52FP045236
672,Mercedes-Benz,M-Class,2005,false,1G6KS54Y44U174008
673,Mitsubishi,Expo,1993,true,WBAVB335X6K127941
674,Aston Martin,Vantage,2009,true,WBAVC53577A580284
675,Mazda,Mazda3,2008,true,WP0AB2A97BS998100
676,Toyota,Supra,1996,false,WBSKG9C57DJ852452
677,GMC,Sonoma Club Coupe,1998,true,1N4CL2AP5BC272305
678,Lincoln,Continental,1988,true,1G4GE5G32CF631956
679,Honda,Civic,2007,true,1G4GF5G38CF244776
680,Volkswagen,Golf,1997,false,WBADW3C54CE424908
681,Mitsubishi,Diamante,1993,false,19UYA42433A973882
682,GMC,Sierra 1500,2005,true,WVWAP7AN9EE597209
683,Lexus,IS-F,2009,true,WAUDF98E87A673429
684,Nissan,Altima,1999,false,1G6KD57Y49U759071
685,Ford,Th!nk,2000,false,1G6DS5EV9A0404433
686,Saab,9-5,2003,true,19XFA1F24AE441533
687,Toyota,FJ Cruiser,2009,false,WAUKH98E28A392407
688,GMC,Acadia,2009,true,WBAPH5C58AA900617
689,Suzuki,Swift,1992,true,5FRYD3H9XGB704907
690,Chevrolet,Malibu,2009,false,3C3CFFER6CT573079
691,Volvo,S60,2013,true,1FAHP2DW0CG828852
692,GMC,Savana 2500,2010,true,WA1LYBFE1AD251263
693,Ford,Escape,2004,false,JN1BJ0HR2FM287192
694,Mercedes-Benz,C-Class,1996,false,JTHBC1KS8A5858601
695,Mitsubishi,Eclipse,2004,false,JTMHY7AJ8B4422217
696,Toyota,Avalon,1999,true,WAUBFAFL7AN241084
697,GMC,Sonoma,2003,false,WAUGN94F49N106600
698,Infiniti,QX56,2009,true,1FTEW1CF5FF290278
699,Buick,Regal,1997,true,WAUKFAFL3CN712781
700,Infiniti,M,2011,false,SAJWA0F7XF8025527
701,Mazda,B-Series Plus,2003,true,3VWF17AT5FM667531
702,Mercedes-Benz,R-Class,2009,false,WAUKF78E55A080233
703,Honda,CR-X,1984,true,JHMZE2H30DS708700
704,Mitsubishi,Lancer,2012,false,WAUVT54B04N099849
705,Lamborghini,Gallardo,2010,true,JN1AZ4EH4DM762460
706,Mercury,Villager,1998,false,1GD21ZCG2CZ705039
707,Chevrolet,Express 2500,2008,false,WA1BV74L38D030583
708,Saturn,VUE,2005,false,WAUJC58E72A084353
709,Jeep,Cherokee,1993,true,WAUEL94F86N304668
710,Ford,Econoline E150,1995,false,WAUMF98K79A605468
711,Saab,9-2X,2006,true,1FMJK1HT7FE426534
712,Geo,Metro,1993,true,KMHFH4JG1FA212992
713,Dodge,Ram Wagon B250,1992,true,1D4SE6GT1BC232799
714,Lexus,GS,2000,true,WUAYU48H28K570447
715,Chevrolet,Lumina,1996,true,SCBCR7ZA7AC384353
716,Dodge,Viper RT/10,1994,true,2G4GN5EC1B9420435
717,Buick,Coachbuilder,1994,true,WP0AA2A94BS630007
718,Lincoln,Mark VII,1984,true,1G4HD57208U080217
719,Toyota,Highlander,2012,true,19VDE3F33EE975122
720,Chevrolet,Lumina APV,1992,false,SCBLC47J17C750352
721,Volkswagen,GTI,1987,true,WA1DVAFE1AD861090
722,Mercedes-Benz,CLK-Class,2005,false,1GKS2FEJ2CR330721
723,Chevrolet,Beretta,1993,true,WBAKG1C54DJ484298
724,Saturn,S-Series,2000,true,KNDPB3AC4E7621114
725,Mitsubishi,Truck,1994,true,2C3CDZBT2FH921058
726,Ford,E250,2008,true,SCFHDDAJ0CA190890
727,Ford,Club Wagon,1992,false,WBA3B5G57DN213233
728,Toyota,Celica,1982,true,1C3ADEBZ5DV950868
729,Buick,LeSabre,1994,false,WAUAVAFD6BN987521
730,Hyundai,Entourage,2007,false,1FTEX1C87AK639343
731,Dodge,Magnum,2006,false,1FMJK1H55BE031103
732,Ford,Escort,2002,false,5N1AR2MM4DC922208
733,Ford,Ranger,2009,true,WAU4FAFL1AA384922
734,Saab,9-3,2011,true,WBAUC9C57BV246423
735,Lexus,LX,2007,true,NM0KS9AN4AT008438
736,Audi,A8,2006,true,1GYS4DEF4DR901711
737,GMC,Jimmy,1995,true,WAUMF78P16A650837
738,GMC,Suburban 1500,1995,false,WA1VGAFP3EA691984
739,Toyota,T100,1995,false,1LNHL9FT6FG640547
740,Suzuki,XL7,2007,false,2G61V5S85E9167234
741,Smart,Fortwo,2012,true,JTHKD5BH7F2123108
742,GMC,Rally Wagon 3500,1992,true,1D7RW2GK5AS643061
743,Mazda,Tribute,2010,true,WBA3A5C55FF690166
744,Mazda,MPV,1993,false,JTDKN3DU9B0100366
745,BMW,545,2005,true,19VDE1F57FE271108
746,GMC,Sierra 2500,2001,true,WAUMF78P76A402883
747,Ford,Fusion,2013,false,2G61R5S34F9963791
748,Plymouth,Breeze,1997,true,WAUJC68E95A805735
749,Cadillac,DeVille,1998,true,WDDEJ7KB6CA749657
750,Cadillac,Eldorado,1992,true,1N6BF0KM4FN800199
751,Nissan,280ZX,1979,true,2G4GR5EK8C9014794
752,Cadillac,Escalade ESV,2012,true,1N4AL3AP4DC941471
753,Ford,Freestyle,2005,true,WBA3B5C57DF167984
754,GMC,Yukon,2007,true,5N1AR1NB7BC816355
755,Ford,E250,2006,false,1C4RDJAG7CC001145
756,Mitsubishi,L300,1987,true,WA1EY94L39D035736
757,Buick,Skyhawk,1989,false,2C3CCABG5DH266382
758,Honda,Prelude,1995,true,WBSBL93423J938897
759,Buick,Electra,1990,true,1C3CDFAA8DD457105
760,Saab,9-3,2010,true,WAUDT48H06K540369
761,Honda,Accord,2006,false,SCFBF04B88G995683
762,Jaguar,S-Type,2006,true,WBSCL93401L194481
763,GMC,1500 Club Coupe,1998,false,WBA5B1C51FG919712
764,Toyota,Celica,1978,true,JM1NC2PF7E0003150
765,Chevrolet,G-Series G10,1992,true,YV140MAK7F1306473
766,Honda,Element,2006,false,1G6ET12991B342909
767,Land Rover,Range Rover,2011,true,1FADP5BU9DL188909
768,Ford,Expedition,2007,true,3N1CN7AP0EK246987
769,BMW,600,1957,true,SCBGU3ZA4EC828075
770,Chevrolet,Corvette,2009,false,WBAVS13568F815788
771,Mercedes-Benz,CLK-Class,2001,false,5N1AL0MM4FC457552
772,Kia,Rio,2011,true,JN1AZ4EHXEM032828
773,Chevrolet,Equinox,2005,true,1G4HE57Y37U886343
774,Infiniti,FX,2011,false,1FTMF1EW2AF298419
775,Pontiac,Firebird,1990,true,4F2CY0C76AK685903
776,Lotus,Esprit,2000,true,KNDKG3A20A7966282
777,Chrysler,Concorde,1995,false,3N1CE2CP4FL042186
778,Land Rover,LR4,2012,false,JN8AF5MR5CT457788
779,Toyota,Land Cruiser,2000,false,WA1AY74L59D159218
780,Mitsubishi,Expo,1992,true,JH4DC538X3C757450
781,Dodge,Ram 1500,2007,true,SCFEFBAC6AG391819
782,Nissan,Pathfinder,2001,true,WAUAFAFH7BN342327
783,Honda,Accord,1986,true,JH4NA12661T663582
784,Suzuki,Kizashi,2011,true,SAJWA0JH0EM174910
785,Chevrolet,Impala,2010,false,WAULC58EX5A930584
786,Lincoln,Navigator,2004,true,WBAAV53471J231326
787,Buick,LeSabre,2004,false,1FTSW3B54AE361136
788,Honda,Civic,2011,false,1FTEX1E82AF180809
789,Nissan,Quest,1996,false,WBABS33402J614799
790,Mazda,MX-6,1996,false,WBSBL93401J586853
791,Chrysler,Crossfire,2007,false,WAUEKBFB7AN822865
792,Oldsmobile,98,1992,false,WAUKG98E96A577294
793,Mercedes-Benz,CLK-Class,2005,false,5LMJJ2JT6FE644225
794,Honda,Insight,2005,true,1G6DA8E50C0103542
795,Jaguar,XK Series,2000,false,WAUBVAFA9AN206905
796,Alfa Romeo,Spider,1994,false,WVGEP9BP0FD628654
797,Land Rover,Range Rover Sport,2009,false,5N1AA0NC9CN239764
798,Kia,Sorento,2012,false,1FTSX2B57AE608317
799,Mercury,Sable,1990,true,JH4DC53824S080983
800,Chevrolet,2500,1992,false,WAUPEAFM4DA980846
801,Acura,RL,2003,false,WBAPN73559A857791
802,BMW,X5,2000,false,WAUAF78E45A525685
803,Volvo,V70,2005,true,19XFB4F24DE529579
804,Buick,Park Avenue,1992,true,JM1CW2BLXE0684142
805,Pontiac,Trans Sport,1997,false,3D4PH1FGXBT886757
806,Infiniti,IPL G,2012,true,1C3BC2FBXBN829043
807,Chevrolet,Express 3500,2009,false,5FRYD4H48EB186402
808,Chevrolet,TrailBlazer,2003,true,WBSDE934X2B323218
809,Kia,Sorento,2007,false,WAURVAFD5CN367926
810,Cadillac,CTS-V,2009,false,2C3CA2CV0AH141052
811,Dodge,Ram 3500,2001,true,1G4HH5E95AU283856
812,Oldsmobile,Silhouette,1998,false,JN8AF5MR1CT800595
813,BMW,760,2005,false,ZFBCFAAH2EZ335353
814,Chevrolet,Suburban 2500,2005,true,4T1BF1FK4FU139065
815,Nissan,Pathfinder,1995,false,WBAYE8C54ED091474
816,Honda,Pilot,2006,false,WDDGF4HB0DR839275
817,Jaguar,X-Type,2007,false,WA1DGAFP1EA170676
818,Infiniti,G,1992,true,WUARL48H65K290582
819,Mercedes-Benz,GL-Class,2007,false,1G6YX36D385305472
820,Buick,LeSabre,1992,true,WA1DMAFP6FA844900
821,BMW,Z3,1997,false,19VDE3F78EE778921
822,Buick,Somerset,1987,true,JN1CV6AP8AM765158
823,Volvo,960,1996,false,WDDLJ7DB6CA566554
824,Daewoo,Leganza,1999,false,WAUGU54D41N008374
825,Suzuki,SX4,2011,false,WP0CA2A82BS379729
826,Dodge,Charger,2006,false,1FAHP3GN7AW964200
827,Porsche,944,1990,false,3LN6L2LU5DR140106
828,Nissan,Cube,2009,true,19UUA65696A257161
829,Bentley,Continental Flying Spur,2012,false,2C3CCAAG1FH050937
830,BMW,M5,1992,false,JTDKN3DP0F3881339
831,Toyota,Highlander,2005,true,3TMJU4GN6BM847610
832,Toyota,Camry,2002,true,JH4KA96503C084058
833,Toyota,Highlander,2002,true,19UYA42571A390348
834,Lexus,LX,2005,true,SCBBP9ZA1BC521060
835,Ford,Mustang,1994,false,JTJHY7AX0F4626114
836,Lexus,RX,2007,false,SCBCR73W78C099750
837,Oldsmobile,Bravada,2001,false,1C4NJCBA0FD956848
838,Acura,Integra,2001,false,1G6KD57Y09U926977
839,Nissan,370Z,2009,true,WDCYC3HF8CX266487
840,Jaguar,X-Type,2005,true,SCFHDDAJXBA354340
841,Daewoo,Lanos,2002,true,3C3CFFER0ET697092
842,Ford,Th!nk,2001,true,WBAVB13546P587426
843,Maybach,62,2011,false,TRUTC28N611879439
844,Mitsubishi,Chariot,1990,true,1G4PN5SK1C4085404
845,BMW,525,2004,false,WAUAFAFLXEA057489
846,Pontiac,Grand Am,2005,true,1N4AL2AP8BC860514
847,Ford,F-Series,1989,true,KMHGC4DD9EU576787
848,Pontiac,Grand Prix,1998,false,WUAAU34279N210331
849,Maserati,Spyder,2005,true,2T1BURHE1FC680815
850,Infiniti,QX,2004,true,1N6AD0CU8BC172881
851,Porsche,Panamera,2012,false,JTHBF1D25F5445031
852,Chrysler,PT Cruiser,2010,false,WA1EY94L98D363080
853,Plymouth,Grand Voyager,1995,false,KNADM4A35C6240746
854,Cadillac,XLR,2005,false,SAJWA2EKXEM333398
855,Lexus,LS,1997,true,W04GN5EC6B1987193
856,Lamborghini,Countach,1987,false,3GYFNCEY8BS411289
857,Kia,Carens,2009,false,WAUAFAFH2DN919526
858,Chevrolet,Express 2500,2005,false,1N6AA0CAXDN936221
859,Toyota,Camry,2001,true,JM1GJ1T50F1755659
860,Land Rover,Defender 110,1993,false,3D7TT2HT1AG399017
861,Mitsubishi,Lancer Evolution,2010,false,WBANV93579C117795
862,Mercedes-Benz,CLS-Class,2011,false,WBXPC93418W775363
863,Audi,A6,1995,true,KNAFU5A29B5355151
864,Dodge,Colt,1992,true,3VW117AU8FM409720
865,BMW,X6,2010,true,1G6AB5R38F0283932
866,Ford,Thunderbird,1972,false,JH4DC54892C286114
867,Nissan,Maxima,2008,true,JTHBE1BL1E5688235
868,Chevrolet,Express 1500,2010,true,2HNYD18746H315316
869,Suzuki,Swift,1990,true,ZHWGU6AU3CL102488
870,Lincoln,Navigator L,2011,false,WAUBFAFL0DA420854
871,Pontiac,Aztek,2002,true,WAUMV94E29N958812
872,Oldsmobile,88,1997,false,1G6DV57V090647225
873,Ford,F-Series,2009,false,5J6TF2H50EL769282
874,Oldsmobile,98,1996,false,WP0CA2A81DS448798
875,Mitsubishi,Tredia,1985,false,SCBZK25E41C925725
876,Hyundai,Genesis,2011,false,1N6AA0CJ4FN890775
877,Nissan,Quest,2005,false,WAUKH94F36N213585
878,Pontiac,Bonneville,1991,false,WAUCF78K79N774916
879,Land Rover,Discovery,2001,true,YV1672MK5D2295601
880,Volkswagen,Jetta,2003,false,1FTSW3B53AE495247
881,Ford,Bronco II,1988,false,1N6AF0LX3EN613295
882,Pontiac,6000,1991,true,WAUHF78P29A272064
883,Ford,Transit Connect,2013,true,WAUKF98EX7A379862
884,Chrysler,PT Cruiser,2002,true,2HNYD28877H104319
885,Toyota,4Runner,2009,false,2C3CCARG0DH775088
886,Mitsubishi,Lancer Evolution,2005,true,WA1AY94L87D451003
887,Toyota,RAV4,2008,false,1VWAS7A30FC477774
888,Ford,Ranger,1992,true,1YVHZ8AH3A5285741
889,Toyota,Camry,2002,true,WA1LYAFE9AD095435
890,Buick,Riviera,1990,true,5TDBM5G14CS808183
891,Porsche,Cayman,2007,false,3VW517AT9FM940689
892,Maserati,Spyder,1990,false,1J4NF1GB6AD259047
893,Plymouth,Sundance,1994,true,WBA6A0C58FG643434
894,Ford,F-250 Super Duty,2006,true,1N6AF0LY0FN649553
895,Chrysler,300M,1999,false,JH4CU4F67DC973996
896,Chevrolet,Monte Carlo,1996,true,WAUDFAFC9DN500378
897,Subaru,Justy,1987,false,3D7TT2HT0BG512862
898,Cadillac,XLR,2007,false,WBAKN9C59FD127169
899,Mercury,Milan,2011,false,WAUFFAFL8CA180498
900,Dodge,D250,1992,false,5TDBK3EH5DS043707
901,Cadillac,DeVille,2004,true,WAUDH78E47A137141
902,Pontiac,Montana,2003,false,2FMGK5B87DB981661
903,GMC,Vandura 3500,1992,true,WAUKD98P46A958142
904,Ford,E-Series,2007,true,JN1CV6AP2BM633207
905,Mitsubishi,Outlander,2003,false,KM8JT3AF7FU554469
906,Buick,Lucerne,2007,false,1GKKRNED7FJ899230
907,Mercury,Topaz,1985,true,WAUDH78EX8A577821
908,Volkswagen,Jetta,2003,true,5N1AA0NC9BN847007
909,Dodge,Ram 2500,2000,false,WAUSH78E58A951811
